0;'id';'notes';'macro';'version';'arch';'enabled';'update';'remove';'name';'url';'manifest';'deps';'rank';'class';'packages';'brief';'description'
28;28;'ok';'CSB';'15.0';'x86_64';1;1;0;'csb64-150';'https://slackware.uk/csb/15.0/x86_64/';'MANIFEST.bz2';0;60;'64150';'PACKAGES.TXT.gz';'Cinnamon';'Repository 64bit for Cinnamon SlackBuilds (https://cinnamonslackbuilds.github.io/)'
29;29;'ok';'CSB';'15.0';'i386';1;1;0;'csb-150';'https://slackware.uk/csb/15.0/x86/';'MANIFEST.bz2';0;60;'32150';'PACKAGES.TXT.gz';'Cinnamon';'Repository 32bit for Cinnamon SlackBuilds (https://cinnamonslackbuilds.github.io/)'
30;30;'ok';'SALIX';'15.0';'x86_64';1;1;0;'salix64-150';'https://download.salixos.org/x86_64/15.0/';'';1;60;'64150';'PACKAGES.TXT.gz';'Salix';'Repository 64bit for Salix OS (https://salixos.org/) packages fully compatible with Slackware'
31;31;'ok';'SALIX';'15.0';'i386';1;1;0;'salix32-150';'https://download.salixos.org/i486/15.0/';'';1;60;'32150';'PACKAGES.TXT.gz';'Salix';'Repository 32bit for Salix OS (https://salixos.org/) packages fully compatible with Slackware'
32;32;'ok';'SALIX';'15.0';'x86_64';1;1;0;'salix64-extra-150';'https://download.salixos.org/x86_64/extra-15.0/';'';1;60;'64150';'PACKAGES.TXT.gz';'Salix Extra';'Repository 64bit for Salix OS Extra (https://salixos.org/) packages fully compatible with Slackware'
33;33;'ok';'SALIX';'15.0';'i386';1;1;0;'salix32-extra-150';'https://download.salixos.org/i486/extra-15.0/';'';1;60;'32150';'PACKAGES.TXT.gz';'Salix Extra';'Repository 32bit for Salix OS Extra (https://salixos.org/) packages fully compatible with Slackware'
34;34;'ok';'SLACKEL';'current';'x86_64';1;1;0;'slackel64-cur';'https://slackware.uk/slackel/x86_64/current/';'';1;70;'64cur';'PACKAGES.TXT.gz';'Slackel';'Repository 64bit for Slackel (http://www.slackel.gr/) packages fully compatible with Slackware'
35;35;'ok';'SLACKEL';'current';'i386';1;1;0;'slackel32-cur';'https://slackware.uk/slackel/i486/current/';'';1;70;'32cur';'PACKAGES.TXT.gz';'Slackel';'Repository 32bit for Slackel (http://slackel.gr/) packages fully compatible with Slackware'
36;36;'ok';'CONRAID';'current';'x86_64';1;1;0;'conraid64-cur';'https://slackers.it/repository/slackware64-current/';'MANIFEST.bz2';1;60;'64cur';'PACKAGES.TXT.gz';'Conraid';'Repository 64bit by Conraid (https://github.com/conraid/SlackBuilds/) packages fully compatible with Slackware'
37;37;'ok';'SLACKPKGPLUS';'mixed';'noarch';1;1;0;'slackpkgplus-mixed';'https://slackware.nl/slackpkgplus/';'MANIFEST.bz2';0;99;'naall';'PACKAGES.TXT.gz';'Slackpkg+';'Repository for slackpkg+ (https://github.com/zuno/slackpkgplus)'
38;38;'ok';'SLACKPKGPLUS';'mixed';'noarch';1;1;0;'slackpkgplus15-mixed';'https://slackware.nl/slackpkgplus15/';'MANIFEST.bz2';0;99;'naall';'PACKAGES.TXT.gz';'Slackpkg+15';'Repository for slackpkg+15 (https://github.com/zuno/slackpkgplus)'
39;39;'ok';'SLACKPKGPLUS';'mixed';'noarch';1;1;0;'slackpkgplusdev-mixed';'https://slackware.nl/slackpkgplusdev/';'MANIFEST.bz2';0;99;'naall';'PACKAGES.TXT.gz';'Slackpkg+dev';'Repository for slackpkg+dev (https://github.com/zuno/slackpkgplus)'
40;40;'ok';'SLACKDCE';'15.0';'x86_64';1;1;0;'slackdce64150';'https://slackware.uk/slackdce/15.0/x86_64/';'MANIFEST.bz2';1;80;'64150';'PACKAGES.TXT.gz';'SlackDCE Project';'Repository 64bit by Slackware DCE (http://slackdce.radioclub.ar/) packages are compiled from the full collection of unmodified SlackBuilds.org scripts'
41;41;'ok';'MSB';'current';'x86_64';1;1;0;'msb64-cur';'https://slackware.uk/msb/current/latest/x86_64/';'MANIFEST.bz2';0;60;'64cur';'PACKAGES.TXT.gz';'Mate';'Repository 64bit for Mate SlackBuilds (https://mateslackbuilds.github.io/)'
42;42;'ok';'MSB';'15.0';'x86_64';1;1;0;'msb64-150';'https://slackware.uk/msb/15.0/latest/x86_64/';'MANIFEST.bz2';0;60;'64150';'PACKAGES.TXT.gz';'Mate';'Repository 64bit for Mate SlackBuilds (https://mateslackbuilds.github.io/)'
